nmId,rank,revenue,price,units,rating,comments,salesPerDay,brand,name
742641723,186,10262432,2662,3894,5,308,43,"Asya Store","Блузка рубашка офисная нарядная с гипюром"
918827083,187,10247647,1648,6273,5,221,69,"Zella","Туника летняя легкая рубашка парео пляжное"
90469383,188,10207436,1200,7715,5,8241,85,"GRANGEL","Блузка летняя с коротким рукавом"
1040070104,189,10166062,3174,2986,5,1311,33,"Julia White","Блузка нарядная ципао с баской"
278980419,190,10137296,960,7630,5,1837,84,"LS style","Рубашка оверсайз в полоску"
126050166,191,10085963,1561,7624,5,28651,84,"ТЫСЯЧА СТОЛИЦ","Рубашка оверсайз офисная"
608341673,192,10008168,1443,6509,5,2256,72,"KARYLINE","Блузка шелковая оверсайз рубашка атласная в офис"
850368656,193,9978439,2021,5016,5,693,55,"SUNDRESSLOVE","Туника пляжная накидка рубашка на купальник"
228172274,194,9920945,1700,5866,5,7226,64,"ABBI ROOM","Летняя рубашка оверсайз пляжная"
579032950,195,9843822,2457,3614,5,23944,40,"Apparelle","Рубашка оверсайз однотонная офисная"
236497867,196,9839208,3646,2635,5,5451,29,"KRUZHEVA","Костюм летний хлопковый с шортами и рубашкой"
366446311,197,9827979,1312,7026,5,6794,77,"Weara","Удлиненная блузка"
506844054,198,9820608,2449,6249,5,4732,69,"Flouze","Коричневая рубашка в полоску нарядная"
219401069,199,9768655,1860,3961,5,15247,44,"AIDEMIKO","Рубашка из муслина с длинным рукавом оверсайз"
558252101,200,9759474,3089,4282,5,2287,47,"INSPIRE ONE","Блузка нарядная офисная стильная атласная"
506065813,201,9737363,1842,5786,5,434,64,"VERY ME","Рубашка школьная девочковая"
860545176,202,9704818,3095,4203,5,504,46,"МАША КОЛЛЕКЦИЯ","Блузка нарядная с кружевом вечерняя"
443125797,203,9672850,3901,2177,5,140,24,"SECTAM STUDIO","Блузка нарядная вечерняя тенсель"
824943313,204,9642882,1060,7176,5,442,79,"","Рубашка оверсайз марлевка прозрачная летняя"
969291215,205,9592199,2374,3477,5,1311,38,"Julia White","Блузка нарядная кружевная ципао"
5941197,206,9584341,3462,3139,5,1888,34,"MAGIC PEOPLE","Блузка летняя с коротким рукавом"
230753308,207,9556665,1500,6968,5,3365,77,"Chika shop","Рубашка оверсайз прозрачная летняя легкая"
471370087,208,9554850,1454,6115,5,6041,67,"mgnovenie","Рубашка классическая офисная"
136137440,209,9532647,2819,4877,5,3744,54,"Che Coso Estilo","Рубашка блузка офисная школьная оверсайз шелковая"
432981563,210,9474556,1686,5553,5,1698,61,"Oljo","Летняя прозрачная оверсайз рубашка из хлопка"
971351680,211,9471969,1339,6763,5,413,74,"UVA style","Рубашка летняя оверсайз марлевка"
434589393,212,9451398,2310,4961,5,4866,55,"PREMIUM B","Рубашка в полоску нарядная"
529019718,213,9441028,3130,3414,5,1152,38,"twoself","Рубашка джинсовая оверсайз"
243637402,214,9438716,3633,3124,5,2020,34,"Blackpires","Рубашка белая оверсайз с длинным рукавом"
13894377,215,9436168,1548,9276,5,73375,102,"Malozemoff","Рубашка базовая для офиса и школы"
822215299,216,9424869,2001,4840,5,633,53,"SUNDRESSLOVE","Туника пляжная накидка рубашка на купальник"
335603789,217,9399077,1485,6205,5,946,68,"LS style","Рубашка оверсайз в полоску"
224436265,218,9398522,1397,7588,5,3346,83,"Neman.","Блузка на завязке"
342085976,219,9374288,2729,3432,5,1970,38,"Северная Лагуна","Блузка офисная с коротким рукавом рубашка школьная"
770842529,220,9368892,2310,5215,5,1036,57,"Flouze","Рубашка на запах в полоску"
920440764,221,9363025,1684,5393,5,604,59,"Meriline Style","Блузка летняя нарядная больших размеров с коротким рукавом"
169443377,222,9258178,1813,7215,5,6871,79,"Elim","Рубашка белая оверсайз базовая для офиса и школы блузка"
784133179,223,9250121,2109,4305,5,1253,47,"the.xristi","Рубашка oversize с кружевом летняя"
317965316,224,9249176,1596,6086,5,609,67,"Zella","Рубашка летняя легкая туника парео пляжное муслин хлопок100%"
589941163,225,9236717,1879,5337,5,1671,59,"LallyRose","Блузка нарядная повседневная"
317966623,226,9229436,1648,5990,5,768,66,"Zella","Рубашка летняя туника парео пляжное легкое"
347864944,227,9206957,1428,5909,5,1502,65,"UVA style","Рубашка оверсайз марлевка летняя"
135780953,228,9170949,2674,4252,5,7407,47,"Che Coso Estilo","Блузка офисная школьная нарядная шелковая"
817614046,229,9105222,2630,3615,5,734,40,"Alesta Bis","Рубашка школьная хлопок блузка летняя"
722709952,230,9101515,1232,6935,5,892,76,"Plain River","Рубашка белая хлопковая прямая с приспущенным плечом"
27920067,231,9100779,2104,4762,5,6253,52,"LookStyle","Блузка летняя нарядная белая под пиджак больших размеров"
878643005,232,9063001,1312,6296,5,718,69,"","Рубашка школьная для девочки с длинным рукавом"
150354955,233,9012032,1347,6586,5,8539,72,"ilookhome","Рубашка в клетку оверсайз удлиненная теплая"
849230094,234,8995152,1654,5313,5,356,58,"MOLLYLANS","Нарядная блузка школьная"
971554937,235,8939417,3576,2442,5,321,27,"People in Popsi","Блузка больших размеров оверсайз летняя"
676611002,236,8905446,1251,6564,5,2705,72,"Elaria Fam","Рубашка оверсайз прозрачная летняя"
496515059,237,8896966,1559,5956,5,5377,65,"KARYLINE","Рубашка в клетку оверсайз удлиненная"
360707484,238,8889000,4615,1828,5,821,20,"GVEN LINE","Прозрачная блузка с воланами"
506567027,239,8864575,2449,5081,5,4732,56,"Flouze","Бежевая рубашка в полоску нарядная"
857489117,240,8837598,2310,6104,5,2926,67,"PREMIUM B","Рубашка ласточка на запах в полоску"
226608706,241,8826837,2316,3803,5,4208,42,"LOOKBALANCE","Блузка базовая под пиджак кружевная"
329840949,242,8808441,1775,4887,5,3716,54,"Larss","Туника пляжная накидка на купальник"
859061954,243,8792737,2790,2176,5,323,24,"ONENESS","Блузка женская летняя нарядная с баской"
240864325,244,8782954,1243,6457,5,10108,71,"ТЫСЯЧА СТОЛИЦ","Блузка летняя без рукавов"
560141628,245,8777562,1440,6537,5,1160,72,"Girl&Shirt","Рубашка белая базовая оверсайз повседневная"
415252860,246,8770541,2527,3996,5,1351,44,"OuMoona","Костюм летний шелковый с шортами и рубашкой"
502677611,247,8754810,1706,5845,5,1085,64,"","Рубашка в клетку удлиненная"
176252339,248,8738054,2457,3447,5,24065,38,"Apparelle","Рубашка оверсайз в полоску"
380715383,249,8725289,1548,7667,5,31349,84,"Malozemoff","Рубашка классическая приталенная офисная школьная"
454172327,250,8705869,1904,4589,5,2781,50,"KM STYLE","Рубашка блузка с воланами оверсайз"
391680085,251,8683174,1909,5991,5,56541,66,"IHO WEAR","Рубашка оверсайз с коротким рукавом школьная летняя"
427725183,252,8682708,1805,3902,5,1376,43,"top4u","Рубашка в полоску с коротким рукавом нарядная офисная"
380719100,253,8682519,1548,7526,5,31349,83,"Malozemoff","Рубашка классическая приталенная офисная школьная"
312941468,254,8679253,1816,5416,5,3111,60,"WHITE TREES","Рубашка белая базовая оверсайз для офиса и школы"
326237959,255,8663576,1849,6791,5,1898,75,"EL&KA","Рубашка белая оверсайз базовая для офиса и школы блузка"
153123946,256,8657590,1245,7656,5,9493,84,"ANVERi.","Блузка женская нарядная летняя больших размеров"
321964199,257,8625826,2255,4288,5,3735,47,"Roconda","Рубашка с коротким рукавом муслиновая льняная"
317966627,258,8613034,1648,5542,5,1135,61,"Zella","Рубашка летняя туника парео пляжное легкое"
822208117,259,8578370,2003,4367,5,577,48,"SUNDRESSLOVE","Туника пляжная накидка рубашка на купальник"
1023702571,260,8507144,1646,6627,5,235,73,"SEDAR","Рубашка хлопковая с капюшоном пляжная оверсайз"
1143124650,261,8501869,2608,3368,5,332,37,"MILANA FASHION","Рубашка блузка офисная с баской"
342248357,262,8475111,2060,3656,5,1707,40,"VZROSLAЯ","Рубашка оверсайз в полоску"
333428987,263,8407037,3875,1919,5,966,21,"ОСКО","Рубашка летняя льняная оверсайз"
453765273,264,8401878,1992,4519,5,3143,50,"Аisаmikg","Рубашка на запах в полоску"
493955687,265,8389039,1344,5815,5,815,64,"needlе","Рубашка в клетку оверсайз удлиненная"
844468292,266,8386278,1860,3319,5,15254,36,"AIDEMIKO","Рубашка из муслина с длинным рукавом оверсайз"
397506230,267,8355218,840,4560,4,313,50,"top4u","Рубашка летняя марлевка"
821326136,268,8332781,2825,2889,5,327,32,"SUNDRESSLOVE","Туника пляжная рубашка с шортами на купальник"
160450145,269,8311017,2034,4666,5,2348,51,"Baleroshka","Блузка школьная с коротким рукавом"
165095645,270,8274715,2255,4097,5,3735,45,"Roconda","Рубашка с коротким рукавом муслиновая льняная"
1065857796,271,8274254,2720,2576,5,314,28,"RHYTHM WEAR","Кружевная вечерняя блузка ципао с коротким рукавом нарядная"
1221393867,272,8271704,1032,7745,5,502,85,"Insolito","Блузка школьная нарядная с длинным рукавом"
331015911,273,8270123,3158,2862,5,2916,31,"AIRSCRUBS","Блузка шифоновая с баской нарядная летняя длинные рукава"
731083725,274,8255907,1336,7274,5,1039,80,"ilookhome","Рубашка классическая для школы теплая"
848421213,275,8247431,1196,4497,5,1815,49,"AIDEMIKO","Рубашка муслиновая летняя нарядная"
948397079,276,8238886,2200,3559,5,2862,39,"KM STYLE","Рубашка приталенная с завязками в полоску с коротким рукавом"
167646964,277,8237746,3032,2921,5,3018,32,"Limonti","Белая рубашка больших размеров офисная оверсайз"
1052215928,278,8228888,1826,7071,5,1681,78,"Dapper Edge","Рубашка оверсайз школьная офисная"
320991714,279,8218313,3918,2004,5,843,22,"KATY PRETTY","Джинсовая рубашка оверсайз"
399152754,280,8174437,1717,6349,5,1801,70,"TEKCA.LINE","Блузка рубашка женская белая школьная офисная приталенная"
219401068,281,8171177,1860,3284,5,15247,36,"AIDEMIKO","Рубашка из муслина с длинным рукавом оверсайз"
340752285,282,8140888,2323,5113,5,1683,56,"ТЫСЯЧА СТОЛИЦ","Блузка летняя шитье больших размеров"
770766291,283,8132294,2310,4498,5,1036,49,"Flouze","Рубашка на запах в полоску ласточка"
844468291,284,8131338,1922,3299,5,15254,36,"AIDEMIKO","Рубашка из муслина с длинным рукавом оверсайз"
327957543,285,8079566,1967,5600,5,5326,62,"ТЫСЯЧА СТОЛИЦ","Рубашка в полоску"
603859679,286,8068757,1710,7030,5,1256,77,"Sol de Luna","Блузка нарядная летняя больших размеров"
762108972,287,8034336,3121,2290,5,166,25,"GVEN LINE","Блузка с воланами без рукава"
57778209,288,8009447,1895,4973,5,16383,55,"MOVATTY","Нарядная блузка школьная"
295644398,289,8001016,1716,4849,5,2402,53,"ТЫСЯЧА СТОЛИЦ","Рубашка офисная в полоску"
724652094,290,7970526,878,7285,5,3716,80,"PREMIUM B","Рубашка оверсайз летний хлопок"
482779806,291,7966722,1710,7281,5,910,80,"AklSon","рубашка на пуговицах"
821931686,292,7965449,1610,5218,5,1359,57,"Байрасс","рубашка полоску оверсайз"
452474481,293,7957581,1878,7127,5,733,78,"AklSon","нарядная рубашка на пуговицах"
558466034,294,7954326,1437,6023,5,628,66,"Natali Ego","Рубашка белая классическая прямая базовая для офиса и школы"
269968122,295,7944270,1989,4591,5,2739,50,"Camicia","Блузка топ белая школьная"
789275060,296,7938560,1224,5489,5,406,60,"","Рубашка оверсайз прозрачная летняя"
213089525,297,7926804,2720,3349,5,10075,37,"COSMO BRAND","Хлопковая рубашка в полоску оверсайз летняя"
236224319,298,7908342,1705,7026,5,5235,77,"B&F","Рубашка в школу оверсайз у2к с галстуком"
806612785,299,7892374,2127,3814,5,3352,42,"TFC","Рубашка оверсайз летняя муслиновая"
484545264,300,7883849,1372,5495,5,3801,60,"ТЫСЯЧА СТОЛИЦ","Рубашка летняя нарядная"
848421215,301,7867745,1380,4275,5,1815,47,"AIDEMIKO","Рубашка муслиновая летняя нарядная"
316692976,302,7853651,3917,2722,5,583,30,"DayZing","Джинсовая рубашка оверсайз"
466785923,303,7848563,2352,3954,5,3133,43,"CAMPBI","Рубашка школьная с коротким рукавом"
432540772,304,7833562,1283,5789,5,964,64,"INLITE","Рубашка летняя прозрачная для пляжа"
729402480,305,7824118,1465,4740,5,9742,52,"mgnovenie","Рубашка летняя легкая оверсайз"
367084326,306,7805709,2924,3443,5,1172,38,"TFORMA","Рубашка школьная для девочки оверсайз"
478029216,307,7735353,1421,5480,5,1194,60,"MARK!ZA","Блузка женская летняя нарядная рубашка большие размеры"
565603535,308,7731474,1653,5152,5,445,57,"MAVEL","Рубашка белая с длинным рукавом школьная"
537747577,309,7705033,1451,5167,5,5377,57,"KARYLINE","Рубашка в клетку оверсайз удлиненная"
70804925,310,7702010,1617,5079,5,3931,56,"Elimi","Рубашка оверсайз шелковая блузка в офис"
827367052,311,7680837,4602,1470,5,277,16,"SATUEL","Блузка туника прозрачная летняя"
302694844,312,7626113,1834,3822,5,2888,42,"22 LeveL","Рубашка в полоску голубая офисная"
982948049,313,7566998,3782,2318,5,200,25,"ELLEON SPORT","Рубашка нарядная с кружевом больших размеров"
823066226,314,7561213,3027,4269,5,346,47,"UMALOOK","Рубашка на запах в полоску old money"
806592846,315,7476720,2127,3586,5,3352,39,"TFC","Рубашка оверсайз летняя муслиновая"
335604499,316,7473446,960,5501,5,809,60,"LS style","Рубашка оверсайз в полоску"
128560149,317,7446177,2239,4244,5,29828,47,"TIHEYA","Рубашка блузка оверсайз шелковая нарядная в школу"
493792944,318,7426435,2129,5870,5,1383,65,"ТЫСЯЧА СТОЛИЦ","Блузка оверсайз нарядная больших размеров"
806367672,319,7426163,1530,5296,5,574,58,"BrandUP","Блузка офисная нарядная летняя с коротким рукавом"
317965286,320,7412558,1442,5463,5,1364,60,"Zella","Рубашка летняя легкая туника парео пляжное хлопок100%"
345358049,321,7408444,3060,2692,5,3246,30,"Golden Code","Рубашка блузка офисная нарядная школьная с воланами и рюшами"
500129427,322,7364772,1407,4297,5,1342,47,"Purrr","Блузка бохо из муслина"
529019723,323,7362576,3130,2262,5,1152,25,"twoself","Рубашка джинсовая оверсайз"
